party_type,party_name,contract_terms,status,start_date,end_date,is_signed,fulfilment_status,requires_fulfilment,document_type,document_name,signee,signed_on,signed_by_company
Customer,Fenwick Genomics,"Master Services Agreement — 12-month initial term, $8,500/month retainer, termination fee of 100% of monthly retainer per full remaining calendar month",Active,2025-04-01,2026-03-31,1,N/A,0,,,Marcus Oyelaran,2025-04-01,"Bramwell Scientific Marketing, LLC"
Customer,Marlstone Bioscience,Contract: % of managed spend (12%). Renewed 07/01/2024; ongoing under Thornfield rate card.,Active,2024-07-01,2026-07-01,1,N/A,0,Sales Order,SO-2024-0231,,2024-07-01,"Thornfield Life Sciences Marketing, Inc."
Customer,Caldwell Diagnostics,"Contract: Flat monthly retainer $15,360. Regulated-client flag set (in-vitro diagnostics); comparative claims routed through Compliance.",Active,2024-08-01,2026-08-01,1,N/A,0,Sales Order,SO-2024-0261,,2024-08-01,"Thornfield Life Sciences Marketing, Inc."
Customer,Wrenfield Scientific,Contract: % of managed spend (12%). Renewal quote in flight (Q1 2026); referred by existing client.,Active,2024-03-27,2026-03-27,1,N/A,0,Sales Order,SO-2024-0114,,2024-03-27,"Thornfield Life Sciences Marketing, Inc."
Customer,Ellensworth Biotech,Contract: % of managed spend (12%). Renewed 02/10/2024; under Thornfield rate card.,Expired,2022-02-10,2024-02-09,1,N/A,0,,,,2022-02-10,"Thornfield Life Sciences Marketing, Inc."
Customer,Harborview Genomics,"Contract: Flat monthly retainer $9,500. Renewed 05/01/2025 under 24-month SOP.",Expired,2023-05-01,2025-04-30,1,N/A,0,,,,2023-05-01,"Thornfield Life Sciences Marketing, Inc."
Customer,Ryland Instruments,Contract: % of managed spend (12%). Renewed 01/15/2025; ongoing under Thornfield rate card.,Expired,2023-01-15,2025-01-14,1,N/A,0,,,,2023-01-15,"Thornfield Life Sciences Marketing, Inc."
Customer,Hollowbrook BioLabs,"Contract: Flat monthly retainer $7,800. Renewed 09/01/2025 under 24-month SOP.",Expired,2023-09-01,2025-08-31,1,N/A,0,,,,2023-09-01,"Thornfield Life Sciences Marketing, Inc."
Customer,Kestrel Analytical,Contract: % of managed spend (12%). Renewed 11/12/2024; ongoing under Thornfield rate card.,Expired,2022-11-12,2024-11-11,1,N/A,0,,,,2022-11-12,"Thornfield Life Sciences Marketing, Inc."
Customer,Ambleside Diagnostics,"Contract: Flat monthly retainer $10,200. Regulated-client flag set.",Active,2024-03-01,2026-02-28,1,N/A,0,,,,2024-03-01,"Thornfield Life Sciences Marketing, Inc."
