parent,opportunity,amount,stage,probability,expected_closing
Fenland Diagnostics,CRM-OPP-2025-00300,32500.0,Qualification,40,2026-03-31
Corvex Molecular,CRM-OPP-2025-00301,48000.0,Needs Analysis,20,2026-03-31
Radial Biosystems,CRM-OPP-2025-00302,72000.0,Proposal/Price Quote,60,2026-03-31
Ashcroft Assays,CRM-OPP-2025-00303,28000.0,Needs Analysis,20,2026-03-31
Meadowbrook Genomics,CRM-OPP-2025-00304,54000.0,Qualification,40,2026-03-31
Silverpine Therapeutics,CRM-OPP-2025-00305,86000.0,Needs Analysis,20,2026-03-31
Windrow Scientific,CRM-OPP-2025-00306,22500.0,Needs Analysis,20,2026-03-31
Kestrel Diagnostics,CRM-OPP-2025-00307,115000.0,Proposal/Price Quote,60,2026-03-31
Northgate BioLabs,CRM-OPP-2025-00308,40000.0,Qualification,40,2026-03-31
Sedgwick Reagents,CRM-OPP-2025-00309,34500.0,Needs Analysis,20,2026-03-31
Chartwell Instruments,CRM-OPP-2025-00310,138000.0,Proposal/Price Quote,60,2026-03-31
Draycott Genomics,CRM-OPP-2025-00311,61000.0,Qualification,40,2026-03-31
Ferncliff Diagnostics,CRM-OPP-2025-00312,46000.0,Needs Analysis,20,2026-03-31
Isley Reagents,CRM-OPP-2025-00313,28500.0,Qualification,40,2026-03-31
Jerbrook Diagnostics,CRM-OPP-2025-00314,52000.0,Needs Analysis,20,2026-03-31
Kilburn Molecular,CRM-OPP-2025-00315,94000.0,Proposal/Price Quote,60,2026-03-31
Merit BioScience,CRM-OPP-2025-00316,165000.0,Negotiation/Review,80,2026-03-31
Newbury Instruments,CRM-OPP-2025-00317,30000.0,Needs Analysis,20,2026-03-31
Orleans Genomics,CRM-OPP-2025-00318,76500.0,Qualification,40,2026-03-31
Quenton BioLabs,CRM-OPP-2025-00319,44000.0,Needs Analysis,20,2026-03-31
Trellis Molecular,CRM-OPP-2025-00320,102000.0,Proposal/Price Quote,60,2026-03-31
Underhill Bio,CRM-OPP-2025-00321,37500.0,Needs Analysis,20,2026-03-31
Whitfield Diagnostics,CRM-OPP-2025-00322,58000.0,Qualification,40,2026-03-31
Xanthe Instruments,CRM-OPP-2025-00323,89000.0,Needs Analysis,20,2026-03-31
Yorktown Bioscience,CRM-OPP-2025-00324,42500.0,Needs Analysis,20,2026-03-31
Alderman Diagnostics,CRM-OPP-2025-00325,50000.0,Needs Analysis,20,2026-03-31
Deerfield Molecular,CRM-OPP-2025-00326,67000.0,Qualification,40,2026-03-31
Estwick Instruments,CRM-OPP-2025-00327,33000.0,Needs Analysis,20,2026-03-31
Glenridge BioLabs,CRM-OPP-2025-00328,148000.0,Proposal/Price Quote,60,2026-03-31
Halewood Diagnostics,CRM-OPP-2025-00329,54500.0,Needs Analysis,20,2026-03-31
Keswick Genomics,CRM-OPP-2025-00330,71000.0,Qualification,40,2026-03-31
Lyndhurst Instruments,CRM-OPP-2025-00331,46500.0,Needs Analysis,20,2026-03-31
Oakenwood Diagnostics,CRM-OPP-2025-00332,38000.0,Needs Analysis,20,2026-03-31
Pentworth Molecular,CRM-OPP-2025-00333,122000.0,Proposal/Price Quote,60,2026-03-31
Rowton Reagents,CRM-OPP-2025-00334,27500.0,Qualification,40,2026-03-31
Tavistock Assays,CRM-OPP-2025-00335,41000.0,Needs Analysis,20,2026-03-31
Vallon Instruments,CRM-OPP-2025-00336,98500.0,Proposal/Price Quote,60,2026-03-31
Wintergreen BioScience,CRM-OPP-2025-00337,63000.0,Needs Analysis,20,2026-03-31
Wrenfield Scientific,CRM-OPP-2025-00338,59000.0,Qualification,40,2026-03-31
Everglade Diagnostics,CRM-OPP-2025-00339,47500.0,Needs Analysis,20,2026-03-31
Highfield Instruments,CRM-OPP-2025-00340,52000.0,Needs Analysis,20,2026-03-31
Hallmark Molecular,CRM-OPP-2025-00341,34500.0,Qualification,40,2026-03-31
Nettleford Bio,CRM-OPP-2025-00342,39000.0,Needs Analysis,20,2026-03-31
Kadence Diagnostics,CRM-OPP-2025-00343,87000.0,Proposal/Price Quote,60,2026-03-31
Brixton Reagents,CRM-OPP-2025-00344,56500.0,Needs Analysis,20,2026-03-31
Willowmere Diagnostics,CRM-OPP-2025-00345,43000.0,Qualification,40,2026-03-31
Thornbury BioScience,CRM-OPP-2025-00346,65000.0,Needs Analysis,20,2026-03-31
Beacon Assay Systems,CRM-OPP-2025-00347,110000.0,Proposal/Price Quote,60,2026-03-31
Delaney BioScience,CRM-OPP-2025-00348,48500.0,Needs Analysis,20,2026-03-31
Enfield Reagents,CRM-OPP-2025-00349,31500.0,Qualification,40,2026-03-31
Corvex Molecular,CRM-OPP-2025-00350,40000.0,Needs Analysis,20,2026-03-31
