source_file,field,exception_type,snapshot_anchor_date,affected_row_count,date_range_min,date_range_max,rationale,registered_by,registered_on
Contract.csv,end_date,future_dated_commitment,2026-01-12,23,2026-01-31,2026-12-05,"Contract end_date marks the scheduled expiry of an active Customer MSA/retainer agreement (12- or 24-month term from start_date). For any contract with status=Active as of the snapshot date, end_date is necessarily in the future; this is the expected shape of an in-force agreement, not a data error.",Tess Karnes,2026-08-27
Sales Order.csv,delivery_date,future_dated_commitment,2026-01-12,29,2026-02-14,2027-05-01,"Sales Order delivery_date reflects the scheduled end of the ongoing monthly-retainer service term (mirrors the linked Contract end_date / Sales Order Item delivery_date). Orders still in service as of the snapshot date carry a delivery_date beyond it by design.",Tess Karnes,2026-08-27
Sales Order Item.csv,delivery_date,future_dated_commitment,2026-01-12,29,2026-02-14,2027-05-01,"Line-item delivery_date is carried from the parent Sales Order (see Sales Order.csv row above) and is expected to match it for the same service-term reasoning.",Tess Karnes,2026-08-27
Opportunity.csv,expected_closing,future_dated_forecast,2026-01-12,131,2026-03-31,2026-03-31,"expected_closing on an open pipeline Opportunity (status=Open, sales_stage in Qualification/Discovery/Proposal/etc.) is a forecasted future close date targeting the Q1 2026 quarter-end (2026-03-31); it is not a historical fact and is expected to postdate the snapshot for any deal still open.",Tess Karnes,2026-08-27
Prospect Opportunity.csv,expected_closing,future_dated_forecast,2026-01-12,131,2026-03-31,2026-03-31,"Mirrors the parent Opportunity.csv expected_closing values (same 131 open pipeline records) for the same Q1 2026 quarter-end forecast reasoning.",Tess Karnes,2026-08-27
Email Campaign.csv,end_date,future_dated_commitment,2026-01-12,1,2026-03-31,2026-03-31,"end_date for an In Progress nurture campaign (Wrenfield Scientific — Email Nurture) is the scheduled campaign wind-down date and is expected to be in the future while the campaign is still active.",Tess Karnes,2026-08-27
Fiscal Year.csv,year_end_date,future_dated_commitment,2026-01-12,1,2026-12-31,2026-12-31,"FY2026 is the fiscal year containing the snapshot date (2026-01-12 falls within 2026-01-01–2026-12-31); its year_end_date is necessarily after the snapshot by definition of an in-progress fiscal year.",Tess Karnes,2026-08-27
Project.csv,expected_end_date,future_dated_forecast,2026-01-12,3,2026-01-20,2026-06-30,"expected_end_date on an Open project (Bramwell Integration; Creative Brief Management) is a forward target date. The one Completed project's (Q4 2025 Close & QBR Prep) expected_end_date of 2026-01-20 is its original planning target logged at project creation and was not revised to the actual completion date after early close; retained as originally recorded.",Tess Karnes,2026-08-27
Purchase Invoice.csv,due_date,future_dated_commitment,2026-01-12,1,2026-02-01,2026-02-01,"due_date on an Unpaid/open Purchase Invoice (posting_date 2026-01-02) is the vendor payment due date under standard 30-day terms and is expected to be in the future until the invoice is settled.",Tess Karnes,2026-08-27
Quotation.csv,valid_till,future_dated_commitment,2026-01-12,1,2026-04-08,2026-04-08,"valid_till on an open Sales Quotation (Wrenfield Scientific renewal quote, transaction_date 2026-01-08) is the quote's expiry date and is expected to be in the future while the quote remains open for acceptance.",Tess Karnes,2026-08-27
Subscription.csv,end_date,future_dated_commitment,2026-01-12,1,2026-03-31,2026-03-31,"end_date on an Active Subscription (Fenwick Genomics) is the scheduled term end and is expected to be in the future for a subscription still in force.",Tess Karnes,2026-08-27
Task.csv,exp_end_date,future_dated_commitment,2026-01-12,10,2026-01-16,2026-01-16,"exp_end_date on Open tasks under the Q4 2025 Close & QBR Prep project is the near-term planned due date (4 days after the snapshot anchor) for work still in progress at snapshot time.",Tess Karnes,2026-08-27
