subject,project,status,priority,exp_start_date,exp_end_date,description,completed_by,completed_on,type,act_start_date,act_end_date,progress
Q4 inherited-account management fee calculation,Q4 2025 Close & QBR Prep,Open,High,2026-01-06,2026-01-16,Calculate net management fee for inherited Ashford Scientific account,,,,,,0
Q4 pipeline value for QBR,Q4 2025 Close & QBR Prep,Open,High,2026-01-06,2026-01-16,Filter to 142 sales-touched leads and calculate pipeline value,,,,,,0
Q4 reserve rate for diagnostics client,Q4 2025 Close & QBR Prep,Open,High,2026-01-06,2026-01-16,Calculate compliance reserve for Caldwell Diagnostics,,,,,,0
Legacy-account rate for mid-cycle renewal,Q4 2025 Close & QBR Prep,Open,High,2026-01-06,2026-01-16,Determine correct rate for Northlake Bioinstruments renewal,,,,,,0
Q4 revenue reconciliation,Q4 2025 Close & QBR Prep,Open,High,2026-01-06,2026-01-16,Reconcile Marlstone Bioscience Q4 revenue with credit memo,,,,,,0
Q1 2026 campaign budget reallocation,Q4 2025 Close & QBR Prep,Open,High,2026-01-06,2026-01-16,Determine reallocatable amount from placement budget,,,,,,0
Legacy client termination fee calculation,Q4 2025 Close & QBR Prep,Open,High,2026-01-06,2026-01-16,Calculate termination fee for Fenwick Genomics MSA,,,,,,0
Combined FY2025 revenue for board slide,Q4 2025 Close & QBR Prep,Open,High,2026-01-06,2026-01-16,Produce single reconciled combined FY2025 revenue figure,,,,,,0
Correct creative brief version identification,Q4 2025 Close & QBR Prep,Open,High,2026-01-06,2026-01-16,Identify authoritative brief version for Caldwell launch,,,,,,0
Renewal quote discount calculation,Q4 2025 Close & QBR Prep,Open,High,2026-01-06,2026-01-16,Calculate discounted renewal quote for Wrenfield Scientific,,,,,,0
Ashford Q4 Instrument Refresh — v1.1 (LOG-2025-0098),Creative Brief Management,Cancelled,Medium,,,"Doc control: Ashford Q4 Instrument Refresh for Ashford Scientific Instruments, v1.1 — SUPERSEDED. File: Brief_v1.1.docx. Concept round; replaced by v2.0",,,Task,,,0
Ashford Q4 Instrument Refresh — v2.0 (LOG-2025-0099),Creative Brief Management,Completed,Medium,,,"Doc control: Ashford Q4 Instrument Refresh for Ashford Scientific Instruments, v2.0 — APPROVED. File: Brief_v2.0.docx. Cleared for placement; supersedes v1.1",Owen Castellano,2025-10-03,Task,,,100
Marlstone Reagent Refresh — v1.0 (LOG-2025-0100),Creative Brief Management,Completed,Medium,,,"Doc control: Marlstone Reagent Refresh for Marlstone Bioscience, v1.0 — APPROVED. File: Brief_v1.0.docx. Cleared for production",Owen Castellano,2025-10-07,Task,,,100
Northlake Renewal Landing — v1.2 (LOG-2025-0101),Creative Brief Management,Completed,Medium,,,"Doc control: Northlake Renewal Landing for Northlake Bioinstruments, v1.2 — APPROVED. File: Brief_v1.2.docx. Landing-page brief for renewal push",Owen Castellano,2025-10-14,Task,,,100
Fenwick Reagent Awareness — v1.4 (LOG-2025-0102),Creative Brief Management,Completed,Medium,,,"Doc control: Fenwick Reagent Awareness for Fenwick Genomics, v1.4 — APPROVED. File: Brief_v1.4.docx. Cleared for placement",Owen Castellano,2025-10-21,Task,,,100
Wrenfield Software Renewal — v1.1 (LOG-2025-0103),Creative Brief Management,Completed,Medium,,,"Doc control: Wrenfield Software Renewal for Wrenfield Scientific, v1.1 — APPROVED. File: Brief_v1.1.docx. Multi-year renewal narrative",Owen Castellano,2025-10-28,Task,,,100
Thornfield Corporate — QBR Storytelling — v0.5 (LOG-2025-0104),Creative Brief Management,Open,Medium,,,"Doc control: Thornfield Corporate — QBR Storytelling for Thornfield Life Sciences Marketing, v0.5 — DRAFT. File: Brief_v0.5.docx. Internal only; awaiting exec input",,,Task,,,0
Ashford Q4 Instrument Refresh — v2.1 (LOG-2025-0105),Creative Brief Management,Completed,Medium,,,"Doc control: Ashford Q4 Instrument Refresh for Ashford Scientific Instruments, v2.1 — APPROVED. File: Brief_v2.1.docx. Copy edits per client feedback",Owen Castellano,2025-11-06,Task,,,100
Marlstone Reagent Refresh — v1.1 (LOG-2025-0106),Creative Brief Management,Completed,Medium,,,"Doc control: Marlstone Reagent Refresh for Marlstone Bioscience, v1.1 — APPROVED. File: Brief_v1.1.docx. Revised per legal notes",Owen Castellano,2025-11-12,Task,,,100
Caldwell Diagnostics — Q1 2026 Assay Launch — v0.9 (LOG-2025-0107),Creative Brief Management,Cancelled,Medium,,,"Doc control: Caldwell Diagnostics — Q1 2026 Assay Launch for Caldwell Diagnostics, v0.9 — SUPERSEDED. File: Brief_v0.9.docx. Concept round",,,Task,,,0
Caldwell Diagnostics — Q1 2026 Assay Launch — v1.0 (LOG-2025-0108),Creative Brief Management,Cancelled,Medium,,,"Doc control: Caldwell Diagnostics — Q1 2026 Assay Launch for Caldwell Diagnostics, v1.0 — SUPERSEDED. File: Brief_v1.0.docx. First internal review draft",,,Task,,,0
Fenwick Reagent Awareness — v1.5 (LOG-2025-0109),Creative Brief Management,Completed,Medium,,,"Doc control: Fenwick Reagent Awareness for Fenwick Genomics, v1.5 — APPROVED. File: Brief_v1.5.docx. Q1 flight extension",Owen Castellano,2025-12-01,Task,,,100
Wrenfield Software Renewal — v1.2 (LOG-2025-0110),Creative Brief Management,Completed,Medium,,,"Doc control: Wrenfield Software Renewal for Wrenfield Scientific, v1.2 — APPROVED. File: Brief_v1.2.docx. Referral-track messaging added",Owen Castellano,2025-12-03,Task,,,100
Northlake Renewal Landing — v1.3 (LOG-2025-0111),Creative Brief Management,Completed,Medium,,,"Doc control: Northlake Renewal Landing for Northlake Bioinstruments, v1.3 — APPROVED. File: Brief_v1.3.docx. Renewal-adjacent CTA refresh",Owen Castellano,2025-12-09,Task,,,100
Caldwell Diagnostics — Q1 2026 Assay Launch — v1.1 (LOG-2025-0112),Creative Brief Management,Cancelled,Medium,,,"Doc control: Caldwell Diagnostics — Q1 2026 Assay Launch for Caldwell Diagnostics, v1.1 — SUPERSEDED. File: Brief_v1.1.docx. Second internal review draft",,,Task,,,0
Caldwell Diagnostics — Q1 2026 Assay Launch — v1.2 (LOG-2025-0113),Creative Brief Management,Cancelled,Medium,,,"Doc control: Caldwell Diagnostics — Q1 2026 Assay Launch for Caldwell Diagnostics, v1.2 — SUPERSEDED. File: Brief_v1.2.docx. Superseded by v1.3",,,Task,,,0
Caldwell Diagnostics — Q1 2026 Assay Launch — v1.3 (LOG-2025-0114),Creative Brief Management,Completed,Medium,,,"Doc control: Caldwell Diagnostics — Q1 2026 Assay Launch for Caldwell Diagnostics, v1.3 — APPROVED. File: Brief_v1.3.docx. Authoritative version for launch.",Owen Castellano,2025-12-18,Task,,,100
Marlstone Reagent Refresh — v1.2 (LOG-2025-0115),Creative Brief Management,Completed,Medium,,,"Doc control: Marlstone Reagent Refresh for Marlstone Bioscience, v1.2 — APPROVED. File: Brief_v1.2.docx. Q1 2026 flight added",Owen Castellano,2025-12-26,Task,,,100
